league_avg,home_adv,rho,min_training_matches,matches,accuracy_1x2,accuracy_ou25,log_loss_1x2,log_loss_ou25,score
1.35,1.12,-0.04,300,2514,0.5859188544152745,0.5445505171042164,0.8956054508610884,0.7065242368099361,0.8388810866457428
1.35,1.12,-0.08,300,2514,0.5859188544152745,0.5445505171042164,0.8956705506151466,0.7065242368099361,0.8389266564735833
1.35,1.12,0.0,300,2514,0.5863166268894192,0.5445505171042164,0.8959317079740226,0.7065242368099361,0.8391094666247967
1.35,1.12,-0.12,300,2514,0.5851233094669849,0.5445505171042164,0.8961149264995134,0.7065242368099361,0.8392377195926402
1.35,1.08,-0.04,300,2514,0.5851233094669849,0.5497215592680986,0.8993514801648677,0.7032703801104523,0.840527150148543
1.35,1.08,0.0,300,2514,0.5847255369928401,0.5497215592680986,0.8995355626106228,0.7032703801104522,0.8406560078605716
1.35,1.08,-0.08,300,2514,0.5851233094669849,0.5497215592680986,0.8995641467805907,0.7032703801104522,0.8406760167795492
1.25,1.12,-0.04,300,2514,0.5851233094669849,0.5445505171042164,0.8975790493395374,0.7089010085636331,0.840975637106766
1.25,1.12,-0.08,300,2514,0.5843277645186953,0.5445505171042164,0.8976783182175847,0.7089010085636331,0.8410451253213992
1.35,1.08,-0.12,300,2514,0.5843277645186953,0.5497215592680986,0.9001617398824788,0.7032703801104522,0.8410943319508708
1.25,1.12,0.0,300,2514,0.5847255369928401,0.5445505171042164,0.8978731119701201,0.7089010085636333,0.8411814809481739
1.25,1.12,-0.12,300,2514,0.5843277645186953,0.5445505171042164,0.8981593135792011,0.7089010085636333,0.8413818220745306
1.25,1.08,-0.04,300,2514,0.5839299920445505,0.5497215592680986,0.9012924186590923,0.7056688349082552,0.8426053435338411
1.25,1.08,0.0,300,2514,0.5839299920445505,0.5497215592680986,0.9014442291904073,0.7056688349082553,0.8427116109057616
1.25,1.08,-0.08,300,2514,0.5831344470962609,0.5497215592680986,0.9015393355838127,0.7056688349082552,0.8427781853811455
1.35,1.04,-0.04,300,2514,0.5823389021479713,0.5513126491646778,0.9037675296993736,0.7005552651664563,0.8428038503394983
1.35,1.04,0.0,300,2514,0.5823389021479713,0.5513126491646778,0.9037952914826204,0.7005552651664563,0.8428232835877711
1.35,1.04,-0.08,300,2514,0.5819411296738266,0.5513126491646778,0.904142086878883,0.7005552651664563,0.843066040365155
1.25,1.08,-0.12,300,2514,0.5835322195704057,0.5497215592680986,0.9021736585494503,0.7056688349082553,0.8432222114570918
