code,name,industry,in_watch,watch_subtype,final_subtype,d1_first_seal,d1_breaks,d1_amount_yi,open,prev_close,close,high,low,pct,amount_yi,intraday_from_low_pct,fade_from_high_pct,bucket,ts
000718,苏宁环球,房地产开,False,,,094209,0,1.26748814,2.24,2.3,2.15,2.3,2.12,-6.521739130434778,4.1885027155,1.4150943396226356,-6.521739130434778,大跌<-5,2026-06-08 15:00:00
600353,旭光电子,其他电子,True,radar,radar,093903,2,13.08387872,25.0,26.3,24.55,26.15,23.76,-6.653992395437259,16.97673287,3.3249158249158306,-6.118546845124273,大跌<-5,2026-06-08 15:00:01
001309,德明利,半导体,False,,,131218,6,126.89023744,568.18,630.5,588.1,609.0,568.18,-6.724821570182393,66.33702613359999,3.5059312189799074,-3.4318555008210128,大跌<-5,2026-06-08 15:00:00
600868,梅雁吉祥,电力,False,,,093905,3,11.67203152,3.47,3.54,3.3,3.62,3.28,-6.779661016949157,6.77017639,0.6097560975609762,-8.839779005524873,大跌<-5,2026-06-08 15:00:03
002484,江海股份,元件,False,,,101809,0,34.34209472,88.39,90.0,83.62,89.0,83.22,-7.088888888888889,68.844165365,0.4806536890170632,-6.044943820224713,大跌<-5,2026-06-08 15:00:00
002395,双象股份,塑料,False,,,111903,0,2.07845601,15.14,15.68,14.55,15.96,14.51,-7.206632653061218,2.1930985153,0.2756719503790528,-8.834586466165417,大跌<-5,2026-06-08 15:00:00
600237,铜峰电子,元件,False,,,104847,18,17.67989856,11.31,12.07,11.2,11.9,11.06,-7.207953603976813,9.31075082,1.2658227848101111,-5.882352941176483,大跌<-5,2026-06-08 15:00:03
600667,太极实业,工程咨询,False,,,094534,0,30.64278464,15.33,16.15,14.94,16.34,14.71,-7.492260061919498,46.50642234,1.5635622025832685,-8.56793145654835,大跌<-5,2026-06-08 15:00:01
001376,百通能源,电力,False,,,093336,0,2.38035526,13.47,13.71,12.67,13.8,12.56,-7.585703865791404,3.01586265,0.8757961783439461,-8.18840579710145,大跌<-5,2026-06-08 15:00:00
603610,麒盛科技,家居用品,True,active,active,095034,1,2.72707744,18.5,18.82,17.36,18.7,17.23,-7.757704569606805,2.75549025,0.7544979686593178,-7.165775401069519,大跌<-5,2026-06-08 15:00:03
603435,嘉德利,电子化学,False,,,143834,0,10.84694624,78.93,83.11,76.48,81.78,75.8,-7.9773793767296315,6.67998541,0.8970976253298346,-6.480802152115428,大跌<-5,2026-06-08 15:00:01
003036,泰坦股份,专用设备,True,radar,radar,095509,1,7.67349216,81.12,82.35,74.5,82.33,74.12,-9.532483302975104,12.43005329,0.5126821370750045,-9.51050649823879,大跌<-5,2026-06-08 15:00:00
002951,金时科技,其他电源,False,,,102436,0,6.84438144,20.08,22.31,20.08,20.08,20.08,-9.995517705064994,0.55157752,0.0,0.0,大跌<-5,2026-06-08 15:00:00
002824,和胜股份,工业金属,True,active,exclude,103727,0,6.23664128,27.82,28.4,25.56,28.13,25.56,-9.999999999999998,6.394862736,0.0,-9.136153572698191,大跌<-5,2026-06-08 15:00:00
603989,艾华集团,元件,False,,,132300,0,10.02617888,33.23,35.5,31.95,35.9,31.95,-9.999999999999998,8.56351337,0.0,-11.002785515320335,大跌<-5,2026-06-08 15:00:01
000733,振华科技,军工电子,False,,,133930,4,43.8345088,53.0,56.07,50.46,54.5,50.46,-10.005350454788653,29.8413957818,0.0,-7.4128440366972415,大跌<-5,2026-06-08 15:00:00
603067,振华股份,化学原料,False,,,131907,6,21.7564152,34.6,36.28,32.65,35.28,32.65,-10.005512679162077,13.35118752,0.0,-7.454648526077101,大跌<-5,2026-06-08 15:00:01
