code,name,industry,stage,pool_type,pool_subtype,source_file,trigger_price,invalid_price,zone_low,zone_high,rank,score,note
000158,常山北明,IT服务Ⅱ,0611D3,watch,active,0611D3_watch_scan_20260610_233333.csv,15.45,14.05,15.22,15.50,1,90.0,0611D3｜watch｜active｜D1较早封板；D1未炸板；封板资金较足；D2量比2.35在2-3倍，需其他条件补强；D2有冲高回落；D2收盘离支撑有安全垫；D2盘中上冲明显；D2收盘近十字；成交额可跟踪；换手适中
002575,群兴玩具,文娱用品,0611D3,watch,active,0611D3_watch_scan_20260610_233333.csv,6.18,5.72,6.09,6.20,2,86.0,0611D3｜watch｜active｜D1较早封板；D1未炸板；D2量比略高1.58；D2回落充分；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中
002995,天地在线,广告营销,0611D3,watch,active,0611D3_watch_scan_20260610_233333.csv,22.74,21.62,22.40,22.81,3,86.0,0611D3｜watch｜active｜D1较早封板；D1炸板1次；D2量比略高1.62；D2有冲高回落；D2收盘离支撑有安全垫；D2收盘近十字；成交额可跟踪；换手适中
002993,奥海科技,消费电子,0611D3,watch,active,0611D3_watch_scan_20260610_233333.csv,67.11,60.82,66.10,67.31,4,85.0,0611D3｜watch｜active｜D1未炸板；封板资金较足；D2量比略高1.80；D2有冲高回落；D2收盘离支撑有安全垫；D2盘中上冲明显；中高价67谨慎；成交额可跟踪；换手适中
001269,欧晶科技,光伏设备,0611D3,watch,active,0611D3_watch_scan_20260610_233333.csv,29.20,26.06,28.76,29.29,5,83.0,0611D3｜watch｜active｜D1炸板1次；D2量比略高1.55；D2回落充分；D2收盘离支撑有安全垫；D2盘中上冲明显；D2收盘近十字；成交额可跟踪；换手适中
600611,大众交通,铁路公路,0611D3,watch,active,0611D3_watch_scan_20260610_233333.csv,4.63,4.14,4.56,4.64,6,82.0,0611D3｜watch｜active｜D1炸板1次；D2量比略高1.87；D2回落刚达标；D2收盘离支撑有安全垫；D2盘中上冲明显；D2收盘近十字；成交额可跟踪；换手适中
600345,长江通信,通信设备,0611D3,watch,radar,0611D3_watch_scan_20260610_233333.csv,57.64,54.95,56.78,57.81,7,95.0,0611D3｜watch｜radar｜D1较早封板；D1炸板1次；封板资金较足；D2量比温和0.96；D2有冲高回落；D2收盘离支撑有安全垫；D2收盘近十字；中高价57谨慎；成交额可跟踪；换手适中
003026,中晶科技,半导体,0611D3,watch,radar,0611D3_watch_scan_20260610_233333.csv,36.14,30.44,35.60,36.25,8,88.0,0611D3｜watch｜radar｜D1未炸板；封板资金较足；D2量比温和1.19；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中；D2高强度延续，不直接奖励进active
600500,中化国际,化学制品,0611D3,watch,radar,0611D3_watch_scan_20260610_233333.csv,6.55,5.85,6.45,6.57,9,86.0,0611D3｜watch｜radar｜D1较早封板；D1未炸板；封板资金较足；D2量比温和0.77；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；成交额可跟踪；D2高强度延续，不直接奖励进active
000048,京基智农,养殖业,0611D3,watch,radar,0611D3_watch_scan_20260610_233333.csv,17.83,15.20,17.56,17.88,10,85.0,0611D3｜watch｜radar｜D1未炸板；D2量比温和1.01；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；D2收盘近十字；成交额可跟踪；换手适中；D2高强度延续，不直接奖励进active
000029,深深房Ａ,房地产开,0611D3,watch,radar,0611D3_watch_scan_20260610_233333.csv,26.99,22.52,26.59,27.07,11,80.0,0611D3｜watch｜radar｜D1较早封板；D1未炸板；D2量比温和0.92；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；D2盘中上冲明显；D2高强度延续，不直接奖励进active
002057,中钢天源,专业服务,0611D3,watch,radar,0611D3_watch_scan_20260610_233333.csv,11.06,10.01,10.89,11.09,12,78.0,0611D3｜watch｜radar｜D1尾盘封板强降权；D1未炸板；D2量比温和1.20；D2有冲高回落；D2收盘离支撑有安全垫；D2盘中上冲明显；D2收盘近十字；成交额可跟踪；换手适中
