code,name,industry,stage,pool_type,pool_subtype,source_file,trigger_price,invalid_price,zone_low,zone_high,rank,score,sector_strength_score,sector_strength_note,note,entry_date,entry_stage,entry_price,quantity,sellable_quantity,cost_amount
603616,韩建河山,水泥,0623D3,watch,active,0623D3_watch_scan_20260622_223139.csv,6.58,5.91,6.48,6.60,1,92.0,0.0,水泥同批候选1只,0623D3｜watch｜active｜D1炸板2次；D2量比温和1.20；D2有冲高回落；D2收盘离支撑有安全垫；D2盘中上冲明显；D2收盘近十字；成交额可跟踪；换手适中；水泥同批候选1只,,,,,,
000839,国安股份,通信服务,0623D3,watch,active,0623D3_watch_scan_20260622_223139.csv,2.94,2.59,2.90,2.95,2,81.0,2.0,通信服务同批候选1只；板块D2均涨3.2%,0623D3｜watch｜active｜D1较早封板；D1未炸板；D2量比2.02在2-3倍，需其他条件补强；D2有冲高回落；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中；通信服务同批候选1只；板块D2均涨3.2%,,,,,,
002907,华森制药,中药Ⅱ,0623D3,watch,active,0623D3_watch_scan_20260622_223139.csv,13.09,12.09,12.89,13.13,3,79.0,2.0,中药Ⅱ同批候选2只,0623D3｜watch｜active｜D1炸板1次；D2量比温和1.17；D2有冲高回落；D2收盘离支撑有安全垫；换手适中；中药Ⅱ同批候选2只,,,,,,
002158,汉钟精机,通用设备,0623D3,watch,active,0623D3_watch_scan_20260622_223139.csv,34.34,31.23,33.82,34.44,4,78.0,0.0,通用设备同批候选1只,0623D3｜watch｜active｜D1炸板1次；封板资金较足；D2量比略高1.40；D2回落充分；D2收盘离支撑有安全垫；成交额可跟踪；换手适中；通用设备同批候选1只,,,,,,
603956,威派格,专用设备,0623D3,watch,active,0623D3_watch_scan_20260622_223139.csv,5.17,4.53,5.09,5.19,5,75.0,4.0,专用设备同批候选2只；板块D2均涨2.5%,0623D3｜watch｜active｜D1未炸板；D2量比2.04在2-3倍，需其他条件补强；D2回落刚达标；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中；专用设备同批候选2只；板块D2均涨2.5%,,,,,,
000534,万泽股份,生物制品,0623D3,watch,active,0623D3_watch_scan_20260622_223139.csv,31.54,29.88,31.07,31.63,6,71.0,-4.0,生物制品同批候选1只；板块D2均跌2.5%,0623D3｜watch｜active｜D1炸板1次；D2量比略高1.53；D2有冲高回落；D2收盘离支撑有安全垫；成交额可跟踪；换手适中；生物制品同批候选1只；板块D2均跌2.5%,,,,,,
600183,生益科技,,HOLD,position,hold,data/trades/tulong_trades.csv,184.075,169.349,181.314,184.627,,,,,HOLD｜from_trades｜entry_stage=0617D3/0622D3｜quantity=200｜entry_price=184.075,2026-06-17,0617D3/0622D3,184.075,200,200,36825.37
