code,name,industry,stage,pool_type,source_file,trigger_price,invalid_price,zone_low,zone_high,rank,score,note
600301,华锡有色,小金属,0603D3,watch,0603D3_watch_scan_20260603_000900.csv,66.55,56.10,65.55,66.75,1,109.0,0603D3｜watch｜scan｜D1较早封板；D1未炸板；封板资金较足；D2量比略高1.85；D2强势延续；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中；D2高强度延续，归入强势确认观察
002421,达实智能,IT服务Ⅱ,0603D3,watch,0603D3_watch_scan_20260603_000900.csv,4.97,4.11,4.90,4.98,2,106.0,0603D3｜watch｜scan｜D1较早封板；D1未炸板；封板资金较足；D2量比略高1.55；D2强势延续；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；D2高强度延续，归入强势确认观察
603678,火炬电子,军工电子,0603D3,watch,0603D3_watch_scan_20260603_000900.csv,58.61,48.44,57.73,58.79,3,105.0,0603D3｜watch｜scan｜D1较早封板；D1炸板6次偏多；封板资金较足；D2量比温和1.22；D2强势延续；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中；D2高强度延续，归入强势确认观察
001210,金房能源,电力,0603D3,watch,0603D3_watch_scan_20260603_000900.csv,36.86,30.60,36.31,36.97,4,105.0,0603D3｜watch｜scan｜D1较早封板；D1未炸板；封板资金较足；D2量比略高1.49；D2强势延续；D2收盘离支撑有安全垫；成交额可跟踪；换手适中；D2高强度延续，归入强势确认观察
600367,红星发展,化学原料,0603D3,watch,0603D3_watch_scan_20260603_000900.csv,38.84,33.90,38.26,38.96,5,100.0,0603D3｜watch｜scan｜D1较早封板；D1炸板1次；D2量比略高1.92；D2强势延续；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中；D2高强度延续，归入强势确认观察
603045,福达合金,金属新材,0603D3,watch,0603D3_watch_scan_20260603_000900.csv,75.26,62.42,74.13,75.49,6,100.0,0603D3｜watch｜scan｜D1较早封板；D1炸板5次偏多；D2量比温和0.99；D2强势延续；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中；D2高强度延续，归入强势确认观察
002951,金时科技,其他电源,0603D3,watch,0603D3_watch_scan_20260603_000900.csv,21.34,17.64,21.02,21.40,7,99.0,0603D3｜watch｜scan｜D1尾盘封板降权；D1未炸板；封板资金较足；D2量比略高1.32；D2强势延续；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中；D2高强度延续，归入强势确认观察
000055,方大集团,装修建材,0603D3,watch,0603D3_watch_scan_20260603_000900.csv,4.19,3.46,4.13,4.20,8,97.0,0603D3｜watch｜scan｜D1较早封板；D1炸板1次；D2量比略高1.69；D2强势延续；D2收盘离支撑有安全垫；D2收盘近十字；换手适中；D2高强度延续，归入强势确认观察
600403,大有能源,煤炭开采,0603D3,watch,0603D3_watch_scan_20260603_000900.csv,6.12,5.06,6.03,6.14,9,96.0,0603D3｜watch｜scan｜D1炸板2次；D2量比温和0.57；D2强势延续；D2收盘离支撑有安全垫；D2收盘近十字；D2高强度延续，归入强势确认观察
600121,郑州煤电,煤炭开采,0603D3,watch,0603D3_watch_scan_20260603_000900.csv,5.17,4.27,5.09,5.19,10,95.0,0603D3｜watch｜scan｜D1未炸板；D2量比略高1.66；D2强势延续；D2收盘离支撑有安全垫；成交额可跟踪；换手适中；D2高强度延续，归入强势确认观察
600596,新安股份,农化制品,0603D3,watch,0603D3_watch_scan_20260603_000900.csv,13.09,12.08,12.89,13.13,11,93.0,0603D3｜watch｜scan｜D1较早封板；D1炸板2次；D2量比温和1.24；D2有冲高回落；D2收盘离支撑有安全垫；D2收盘近十字；成交额可跟踪；换手适中
002579,中京电子,元件,0603D3,watch,0603D3_watch_scan_20260603_000900.csv,20.76,17.36,20.45,20.82,12,92.0,0603D3｜watch｜scan｜D1较早封板；D1炸板4次偏多；D2量比温和0.74；D2强势延续；D2收盘离支撑有安全垫；D2盘中上冲明显；D2高强度延续，归入强势确认观察
