code,name,industry,stage,pool_type,source_file,trigger_price,invalid_price,zone_low,zone_high,rank,score,note
000791,甘肃能源,电力,0601D3,watch,0601D3_watch_scan_20260601_072943.csv,9.84,9.00,9.69,9.87,1,90.0,0601D3｜watch｜scan｜D1较早封板；D1炸板12次偏多；D2量比温和1.10；D2有冲高回落；D2收盘离支撑有安全垫；D2盘中上冲明显；D2收盘近十字；成交额可跟踪；换手适中
000692,惠天热电,电力,0601D3,watch,0601D3_watch_scan_20260601_072943.csv,5.27,4.79,5.19,5.29,2,90.0,0601D3｜watch｜scan｜D1较早封板；D1炸板1次；D2量比略高1.97；D2有冲高回落；D2收盘离支撑有安全垫；D2盘中上冲明显；D2收盘近十字；成交额可跟踪；换手适中
600982,宁波能源,电力,0601D3,watch,0601D3_watch_scan_20260601_072943.csv,6.59,6.00,6.49,6.61,3,89.0,0601D3｜watch｜scan｜D1未炸板；D2量比略高1.45；D2有冲高回落；D2收盘离支撑有安全垫；D2盘中上冲明显；D2收盘近十字；成交额可跟踪；换手适中
603861,白云电器,电网设备,0601D3,watch,0601D3_watch_scan_20260601_072943.csv,17.05,15.24,16.79,17.10,4,88.0,0601D3｜watch｜scan｜D1较早封板；D1未炸板；封板资金较足；D2量比2.33在2-3倍，需其他条件补强；D2回落充分；D2收盘离支撑有安全垫；D2盘中上冲明显；D2收盘近十字；成交额可跟踪；换手适中
000859,国风新材,塑料,0601D3,watch,0601D3_watch_scan_20260601_072943.csv,10.78,9.74,10.62,10.81,5,88.0,0601D3｜watch｜scan｜D1较早封板；D1炸板1次；D2量比略高1.67；D2回落充分；D2收盘离支撑有安全垫；D2盘中上冲明显；D2收盘近十字；成交额可跟踪；换手适中
600032,浙江新能,电力,0601D3,watch,0601D3_watch_scan_20260601_072943.csv,10.61,9.45,10.45,10.64,6,87.0,0601D3｜watch｜scan｜D1未炸板；D2量比略高1.54；D2回落充分；D2收盘离支撑有安全垫；D2盘中上冲明显；D2收盘近十字；成交额可跟踪；换手适中
601369,陕鼓动力,专用设备,0601D3,watch,0601D3_watch_scan_20260601_072943.csv,9.60,8.74,9.46,9.63,7,86.0,0601D3｜watch｜scan｜D1尾盘封板降权；D1未炸板；封板资金较足；D2量比略高1.65；D2有冲高回落；D2收盘离支撑有安全垫；D2盘中上冲明显；D2收盘近十字；成交额可跟踪
002878,元隆雅图,广告营销,0601D3,watch,0601D3_watch_scan_20260601_072943.csv,15.99,14.27,15.75,16.04,8,85.0,0601D3｜watch｜scan｜D1未炸板；封板资金较足；D2量比略高1.54；D2回落刚达标；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中
002639,雪人集团,通用设备,0601D3,watch,0601D3_watch_scan_20260601_072943.csv,17.18,15.04,16.92,17.23,9,85.0,0601D3｜watch｜scan｜D1未炸板；封板资金较足；D2量比略高1.68；D2有冲高回落；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪
003018,金富科技,包装印刷,0601D3,watch,0601D3_watch_scan_20260601_072943.csv,67.33,58.71,66.32,67.53,10,85.0,0601D3｜watch｜scan｜D1未炸板；封板资金较足；D2量比2.45在2-3倍，需其他条件补强；D2有冲高回落；D2收盘离支撑有安全垫；D2盘中上冲明显；D2收盘近十字；成交额可跟踪；换手适中
000530,冰山冷热,通用设备,0601D3,watch,0601D3_watch_scan_20260601_072943.csv,6.23,5.59,6.14,6.25,11,84.0,0601D3｜watch｜scan｜D1较早封板；D1未炸板；封板资金较足；D2量比2.95在2-3倍，需其他条件补强；D2有冲高回落；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中
002552,宝鼎科技,元件,0601D3,watch,0601D3_watch_scan_20260601_072943.csv,57.70,50.53,56.83,57.87,12,84.0,0601D3｜watch｜scan｜D1炸板2次；封板资金较足；D2量比略高1.27；D2有冲高回落；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中
