code,name,industry,stage,pool_type,pool_subtype,source_file,trigger_price,invalid_price,zone_low,zone_high,rank,score,note
600103,青山纸业,造纸,0605D3,watch,active,0605D3_watch_scan_20260605_081917.csv,3.96,3.70,3.90,3.97,1,100.0,0605D3｜watch｜active｜D1较早封板；D1炸板1次；封板资金较足；D2量比温和1.25；D2回落充分；D2收盘离支撑有安全垫；D2盘中上冲明显；D2收盘近十字；成交额可跟踪；换手适中
605303,园林股份,基础建设,0605D3,watch,active,0605D3_watch_scan_20260605_081917.csv,29.02,26.91,28.58,29.11,2,92.0,0605D3｜watch｜active｜D1未炸板；D2量比温和1.24；D2有冲高回落；D2收盘离支撑有安全垫；D2收盘近十字；成交额可跟踪；换手适中
605580,恒盛能源,电力,0605D3,watch,active,0605D3_watch_scan_20260605_081917.csv,28.51,25.71,28.08,28.60,3,83.0,0605D3｜watch｜active｜D1炸板1次；D2量比略高1.47；D2回落充分；D2收盘离支撑有安全垫；D2盘中上冲明显；D2收盘近十字；成交额可跟踪；换手适中
600679,上海凤凰,摩托车及,0605D3,watch,active,0605D3_watch_scan_20260605_081917.csv,10.83,10.10,10.67,10.86,4,82.0,0605D3｜watch｜active｜D1未炸板；D2量比略高1.60；D2回落充分；D2收盘离支撑有安全垫；D2盘中上冲明显；D2收盘近十字；换手适中
001326,联域股份,照明设备,0605D3,watch,active,0605D3_watch_scan_20260605_081917.csv,67.62,61.80,66.61,67.82,5,80.0,0605D3｜watch｜active｜D1较早封板；D1炸板2次；D2量比略高1.39；D2回落充分；D2收盘离支撑有安全垫；D2盘中上冲明显；D2收盘近十字；中高价67谨慎；换手适中
603065,宿迁联盛,化学制品,0605D3,watch,active,0605D3_watch_scan_20260605_081917.csv,8.68,7.65,8.55,8.71,6,77.0,0605D3｜watch｜active｜D1炸板1次；D2量比略高1.62；D2回落充分；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中
600505,西昌电力,电力,0605D3,watch,active,0605D3_watch_scan_20260605_081917.csv,14.20,13.04,13.99,14.24,7,77.0,0605D3｜watch｜active｜D1未炸板；D2量比略高1.39；D2回落充分；D2收盘离支撑有安全垫；成交额可跟踪；换手适中
605018,长华集团,汽车零部,0605D3,watch,active,0605D3_watch_scan_20260605_081917.csv,16.71,14.37,16.46,16.76,8,76.0,0605D3｜watch｜active｜D1炸板2次；D2量比略高1.40；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中
605162,新中港,电力,0605D3,watch,radar,0605D3_watch_scan_20260605_081917.csv,12.71,10.50,12.52,12.75,9,86.0,0605D3｜watch｜radar｜D1较早封板；D1未炸板；封板资金较足；D2量比略高1.32；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中；D2高强度延续，不直接奖励进active
600439,瑞贝卡,饰品,0605D3,watch,radar,0605D3_watch_scan_20260605_081917.csv,2.88,2.39,2.84,2.89,10,76.0,0605D3｜watch｜radar｜D1未炸板；D2量比略高1.66；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中；D2高强度延续，不直接奖励进active
603135,中重科技,专用设备,0605D3,watch,radar,0605D3_watch_scan_20260605_081917.csv,12.75,10.54,12.56,12.79,11,73.0,0605D3｜watch｜radar｜D1较早封板；D1未炸板；D2量比略高1.60；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；D2盘中上冲明显；D2高强度延续，不直接奖励进active
002046,国机精工,通用设备,0605D3,watch,radar,0605D3_watch_scan_20260605_081917.csv,56.18,52.21,55.34,56.35,12,72.0,0605D3｜watch｜radar｜D1较早封板；D1炸板2次；封板资金偏弱；D2量比温和1.01；D2回落刚达标；D2收盘离支撑有安全垫；D2收盘近十字；中高价56谨慎；成交额超过15亿降权；换手适中
600078,澄星股份,农化制品,0605D3,watch,radar,0605D3_watch_scan_20260605_081917.csv,13.99,12.01,13.78,14.03,13,71.0,0605D3｜watch｜radar｜D1未炸板；D2量比2.13在2-3倍，需其他条件补强；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中
600578,京能电力,电力,0605D3,watch,radar,0605D3_watch_scan_20260605_081917.csv,9.36,8.49,9.22,9.39,14,69.0,0605D3｜watch｜radar｜D1未炸板；封板资金较足；D2量比略高1.28；D2回落充分；D2收盘离支撑有安全垫；D2盘中上冲明显；D2收盘近十字；成交额过大偏拥挤；换手适中
