code,name,industry,stage,pool_type,source_file,trigger_price,invalid_price,zone_low,zone_high,rank,score,note
002137,实益达,光学光电,0604D3,watch,0604D3_watch_scan_20260604_012613.csv,10.40,8.59,10.24,10.43,1,107.0,0604D3｜watch｜scan｜D1未炸板；封板资金较足；D2量比温和0.64；D2强势延续；D2收盘离支撑有安全垫；成交额可跟踪；换手适中；D2高强度延续，归入强势确认观察
002980,华盛昌,电网设备,0604D3,watch,0604D3_watch_scan_20260604_012613.csv,122.39,101.93,120.55,122.76,2,100.0,0604D3｜watch｜scan｜D1未炸板；封板资金较足；D2量比略高1.57；D2强势延续；D2收盘离支撑有安全垫；成交额可跟踪；换手适中；D2高强度延续，归入强势确认观察
600936,北投科技,IT服务Ⅱ,0604D3,watch,0604D3_watch_scan_20260604_012613.csv,6.51,5.38,6.41,6.53,3,95.0,0604D3｜watch｜scan｜D1炸板1次；D2量比略高1.28；D2强势延续；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中；D2高强度延续，归入强势确认观察
600345,长江通信,通信设备,0604D3,watch,0604D3_watch_scan_20260604_012613.csv,53.65,47.97,52.85,53.81,4,94.0,0604D3｜watch｜scan｜D1未炸板；封板资金较足；D2量比略高1.55；D2有冲高回落；D2收盘离支撑有安全垫；D2盘中上冲明显；D2收盘近十字；成交额可跟踪；换手适中
000700,模塑科技,汽车零部,0604D3,watch,0604D3_watch_scan_20260604_012613.csv,16.58,14.06,16.33,16.63,5,93.0,0604D3｜watch｜scan｜D1较早封板；D1炸板4次偏多；D2量比略高1.25；D2强势延续；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中；D2高强度延续，归入强势确认观察
000586,汇源通信,通信设备,0604D3,watch,0604D3_watch_scan_20260604_012613.csv,16.55,15.22,16.30,16.60,6,92.0,0604D3｜watch｜scan｜D1未炸板；D2量比温和1.07；D2有冲高回落；D2收盘离支撑有安全垫；D2收盘近十字；成交额可跟踪；换手适中
603687,大胜达,包装印刷,0604D3,watch,0604D3_watch_scan_20260604_012613.csv,18.90,16.26,18.62,18.96,7,90.0,0604D3｜watch｜scan｜D1炸板4次偏多；D2量比温和1.03；D2强势延续；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中
600114,东睦股份,通用设备,0604D3,watch,0604D3_watch_scan_20260604_012613.csv,39.22,35.96,38.63,39.34,8,90.0,0604D3｜watch｜scan｜D1炸板1次；封板资金较足；D2量比略高1.30；D2有冲高回落；D2收盘离支撑有安全垫；D2盘中上冲明显；D2收盘近十字；成交额可跟踪；换手适中
603311,金海高科,家电零部,0604D3,watch,0604D3_watch_scan_20260604_012613.csv,37.51,31.00,36.95,37.62,9,90.0,0604D3｜watch｜scan｜D1尾盘封板降权；D1炸板5次偏多；D2量比温和1.01；D2强势延续；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中；D2高强度延续，归入强势确认观察
603997,继峰股份,汽车零部,0604D3,watch,0604D3_watch_scan_20260604_012613.csv,15.27,13.73,15.04,15.32,10,89.0,0604D3｜watch｜scan｜D1未炸板；D2量比略高1.53；D2有冲高回落；D2收盘离支撑有安全垫；D2盘中上冲明显；D2收盘近十字；成交额可跟踪；换手适中
600362,江西铜业,工业金属,0604D3,watch,0604D3_watch_scan_20260604_012613.csv,48.02,44.00,47.30,48.16,11,89.0,0604D3｜watch｜scan｜D1未炸板；封板资金较足；D2量比温和1.21；D2回落刚达标；D2收盘离支撑有安全垫；D2收盘近十字；换手适中
600459,贵研铂业,小金属,0604D3,watch,0604D3_watch_scan_20260604_012613.csv,24.20,21.32,23.84,24.27,12,88.0,0604D3｜watch｜scan｜D1未炸板；封板资金较足；D2量比略高1.69；D2有冲高回落；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中
