code,name,industry,stage,pool_type,pool_subtype,source_file,trigger_price,invalid_price,zone_low,zone_high,rank,score,sector_strength_score,sector_strength_note,note,entry_date,entry_stage,entry_price,quantity,sellable_quantity,cost_amount
000759,中百集团,一般零售,0616D3,watch,active,0616D3_watch_scan_20260616_004358.csv,5.95,5.30,5.86,5.97,1,92.0,2.0,一般零售同批候选1只；板块D2均涨2.1%,0616D3｜watch｜active｜D1未炸板；D2量比温和1.19；D2有冲高回落；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中；一般零售同批候选1只；板块D2均涨2.1%,,,,,,
603036,如通股份,专用设备,0616D3,watch,active,0616D3_watch_scan_20260616_004358.csv,14.53,13.43,14.31,14.57,2,85.0,4.0,专用设备同批候选2只；板块D2均涨3.3%,0616D3｜watch｜active｜D1未炸板；D2量比温和0.79；D2有冲高回落；D2收盘离支撑有安全垫；换手适中；专用设备同批候选2只；板块D2均涨3.3%,,,,,,
001378,德冠新材,塑料,0616D3,watch,active,0616D3_watch_scan_20260616_004358.csv,20.53,19.01,20.22,20.59,3,78.0,4.0,塑料同批候选2只；板块D2均涨4.3%,0616D3｜watch｜active｜D1未炸板；D2量比略高1.67；D2有冲高回落；D2收盘离支撑有安全垫；换手适中；塑料同批候选2只；板块D2均涨4.3%,,,,,,
003009,中天火箭,航天装备,0616D3,watch,active,0616D3_watch_scan_20260616_004358.csv,63.75,55.56,62.79,63.94,4,77.0,4.0,航天装备同批候选1只；板块D2均涨5.2%,0616D3｜watch｜active｜D1较早封板；D1未炸板；D2量比2.92在2-3倍，需其他条件补强；D2回落刚达标；D2收盘离支撑有安全垫；D2盘中上冲明显；中高价63谨慎；成交额可跟踪；换手适中；航天装备同批候选1只；板块D2均涨5.2%,,,,,,
001206,依依股份,个护用品,0616D3,watch,active,0616D3_watch_scan_20260616_004358.csv,17.55,15.81,17.29,17.60,5,77.0,0.0,个护用品同批候选1只,0616D3｜watch｜active｜D1未炸板；D2量比略高1.74；D2回落刚达标；D2收盘离支撑有安全垫；D2收盘近十字；换手适中；个护用品同批候选1只,,,,,,
001299,美能能源,燃气Ⅱ,0616D3,watch,active,0616D3_watch_scan_20260616_004358.csv,10.94,10.38,10.78,10.97,6,75.0,-4.0,燃气Ⅱ同批候选1只；板块D2均跌2.7%,0616D3｜watch｜active｜D1未炸板；D2量比温和1.16；D2回落充分；D2收盘离支撑有安全垫；换手适中；燃气Ⅱ同批候选1只；板块D2均跌2.7%,,,,,,
001268,联合精密,,HOLD,position,hold,data/trades/tulong_trades.csv,41.340,38.033,40.720,41.464,,,,,HOLD｜from_trades｜entry_stage=0615D3｜quantity=100｜entry_price=41.340,2026-06-15,0615D3,41.340,100,100,4139.04
002240,盛新锂能,,HOLD,position,hold,data/trades/tulong_trades.csv,50.517,46.475,49.759,50.668,,,,,HOLD｜from_trades｜entry_stage=0612D3/0615D3｜quantity=300｜entry_price=50.517,2026-06-12,0612D3/0615D3,50.517,300,300,15170.15
