code,name,industry,stage,pool_type,pool_subtype,source_file,trigger_price,invalid_price,zone_low,zone_high,rank,score,sector_strength_score,sector_strength_note,note,entry_date,entry_stage,entry_price,quantity,sellable_quantity,cost_amount
603020,爱普股份,化学制品,0622D3,watch,active,0622D3_watch_scan_20260622_021639.csv,13.96,12.88,13.75,14.00,1,90.0,2.0,化学制品同批候选2只,0622D3｜watch｜active｜D1炸板1次；封板资金偏弱；D2量比温和1.12；D2有冲高回落；D2收盘离支撑有安全垫；D2盘中上冲明显；D2收盘近十字；成交额可跟踪；换手适中；化学制品同批候选2只,,,,,,
001223,欧克科技,自动化设,0622D3,watch,active,0622D3_watch_scan_20260622_021639.csv,49.05,45.30,48.31,49.20,2,89.0,0.0,自动化设同批候选1只,0622D3｜watch｜active｜D1未炸板；封板资金较足；D2量比温和1.07；D2回落充分；D2收盘离支撑有安全垫；成交额可跟踪；换手适中；自动化设同批候选1只,,,,,,
002906,华阳集团,汽车零部,0622D3,watch,active,0622D3_watch_scan_20260622_021639.csv,29.19,26.27,28.75,29.28,3,86.0,0.0,汽车零部同批候选1只,0622D3｜watch｜active｜D1较早封板；D1未炸板；封板资金较足；D2量比2.25在2-3倍，需其他条件补强；D2有冲高回落；D2收盘离支撑有安全垫；D2收盘近十字；成交额可跟踪；换手适中；汽车零部同批候选1只,,,,,,
603637,镇海股份,专业工程,0622D3,watch,active,0622D3_watch_scan_20260622_021639.csv,18.72,16.66,18.44,18.78,4,78.0,2.0,专业工程同批候选1只；板块D2均涨2.5%,0622D3｜watch｜active｜D1较早封板；D1未炸板；D2量比2.00在2-3倍，需其他条件补强；D2回落刚达标；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中；专业工程同批候选1只；板块D2均涨2.5%,,,,,,
600183,生益科技,,HOLD,position,hold,data/trades/tulong_trades.csv,179.150,164.818,176.463,179.687,,,,,HOLD｜from_trades｜entry_stage=0617D3｜quantity=100｜entry_price=179.150,2026-06-17,0617D3,179.150,100,100,17920.18
