code,name,industry,pct,price,amount_yi,turnover,fund_yi,first_seal,last_seal,breaks,stat,limit_boards
002160,常铝股份,工业金属,10.071942329406738,4.59,0.20567427,0.43473297357559204,1.86220793,092500,092500,0,1/1,1
002449,国星光电,光学光电,9.94694995880127,8.29,1.39138531,2.7137460708618164,0.66713775,092500,092500,0,1/1,1
002735,王子新材,包装印刷,10.005130767822266,21.44,4.01235568,6.569011211395264,0.99559641,093000,093000,0,1/1,1
600500,中化国际,化学制品,9.951457023620605,9.06,9.33357776,2.8734943866729736,2.67712445,093003,093003,0,6/4,1
002047,宝鹰股份,装修装饰,10.096153259277344,4.58,0.67293913,0.9777513742446899,0.3584079,093054,093054,0,1/1,1
603169,兰石重装,专用设备,10.027100563049316,8.12,1.4119657,1.352800965309143,1.33032168,093351,093351,0,1/1,1
000791,甘肃能源,电力,9.952607154846191,9.28,4.24342352,2.398064374923706,0.85836473,093430,093430,0,1/1,1
000541,佛山照明,照明设备,9.937888145446777,5.31,1.85381347,2.860302209854126,0.13271808,093633,094109,1,1/1,1
000736,中交发展,房地产服,10.0,4.62,0.77383297,2.3086912631988525,0.40213404,093715,093715,0,1/1,1
000012,南  玻Ａ,玻璃玻纤,9.975668907165527,4.52,1.89512927,2.1868338584899902,0.93956458,093751,093751,0,1/1,1
000970,中科三环,金属新材,9.977662086486816,14.77,17.83438448,10.085384368896484,0.83689818,093915,134603,5,1/1,1
600192,长城电工,电网设备,10.0,7.59,0.64187396,1.962751865386963,0.45474604,094035,094035,0,1/1,1
600206,有研新材,半导体,10.01406478881836,39.11,32.48922688,10.103189468383789,1.98867427,094040,094922,2,1/1,1
603803,瑞斯康达,通信设备,9.983498573303223,13.33,4.25372,7.727939605712891,0.42610678,094352,103252,1,1/1,1
002446,盛路通信,军工电子,10.0,11.77,8.38174144,8.591662406921387,0.7525785,094354,094354,0,1/1,1
002885,京泉华,其他电子,10.012706756591797,43.29,4.29773296,4.295932769775391,1.11726468,094627,094627,0,1/1,1
605006,山东玻纤,玻璃玻纤,10.0,23.98,12.79384944,8.750114440917969,0.2479532,094702,100117,1,6/3,1
603175,超颖电子,元件,10.001168251037598,94.15,5.31429504,12.625268936157227,0.18729447,094734,134943,9,1/1,1
002194,武汉凡谷,通信设备,10.034602165222168,12.72,8.65445152,13.58495044708252,0.88850332,094851,100157,1,1/1,1
600397,江钨装备,专用设备,10.019776344299316,16.69,10.82842608,6.72462272644043,0.63283456,094853,134929,7,1/1,1
600392,盛和资源,小金属,10.003789901733398,29.03,56.28040192,11.26680850982666,1.77574971,095032,134908,4,1/1,1
002782,可立克,其他电子,10.017123222351074,25.7,2.63066296,2.177576780319214,1.0778066,095112,095112,0,1/1,1
601208,东材科技,塑料,9.996933937072754,71.74,45.80455168,6.479947566986084,2.11038418,095127,103624,1,1/1,1
002645,华宏科技,环保设备,10.00981330871582,33.63,14.64076064,6.611737251281738,1.25834985,095433,095651,1,1/1,1
002700,万憬能源,燃气Ⅱ,10.062111854553223,8.86,1.217464,6.720135688781738,0.85768344,095748,095748,0,1/1,1
002141,贤丰控股,动物保健,9.887005805969238,3.89,4.22202208,10.721097946166992,0.19829664,100303,135703,8,1/1,1
603191,望变电气,电网设备,10.030211448669434,18.21,2.81660992,4.817518711090088,0.38124911,100342,100918,2,1/1,1
605166,聚合顺,化学纤维,10.0204496383667,10.76,1.42010777,4.295771598815918,0.40704004,100608,100608,0,1/1,1
002217,合力泰,光学光电,10.126582145690918,2.61,9.28960224,5.050347805023193,1.41189255,100739,100739,0,1/1,1
603949,雪龙集团,汽车零部,9.986859321594238,16.74,1.46583417,4.271911144256592,0.24596366,102011,131147,1,1/1,1
603166,福达股份,汽车零部,10.037175178527832,14.8,3.2519112,3.517138957977295,0.29092108,102023,102023,0,1/1,1
000048,京基智农,养殖业,10.017271041870117,19.11,5.07253408,5.403616905212402,0.66889357,102045,102045,0,6/4,1
001283,豪鹏科技,电池,10.0,53.02,3.28001072,6.136385440826416,0.34470953,102121,102121,0,1/1,1
002927,泰永长征,电网设备,9.990108489990234,22.24,3.9609192,8.362532615661621,0.20380691,102154,102154,0,3/2,1
002989,中天精装,装修装饰,10.010686874389648,30.88,2.3079497,4.219758033752441,0.60873744,102309,102309,0,1/1,1
002484,江海股份,元件,9.996541023254395,95.4,46.32179456,6.042162895202637,0.2277198,102309,144700,14,1/1,1
603721,中广天择,影视院线,9.98389720916748,20.49,1.14947958,4.564230918884277,0.27595932,102410,102410,0,1/1,1
603196,璞源材料,服装家纺,9.9957275390625,25.75,1.08147148,1.8376858234405518,0.9161335,102704,102704,0,1/1,1
603318,水发燃气,燃气Ⅱ,10.034207344055176,9.65,5.66343904,13.29768180847168,0.49908835,102905,103756,1,4/2,1
603773,沃格光电,光学光电,10.0,151.03,39.54986304,11.938738822937012,0.47767768,103049,134219,4,1/1,1
002931,锋龙股份,通用设备,10.0,71.94,8.74779184,6.287005424499512,0.76298125,103224,103224,0,1/1,1
000029,深深房Ａ,房地产开,9.996017456054688,27.62,2.66649721,1.126731038093567,0.59295858,103257,103257,0,6/3,1
601020,华钰矿业,工业金属,9.986973762512207,25.33,10.39391008,5.210460662841797,0.56069981,103831,103901,1,1/1,1
600458,时代新材,轨交设备,10.0,17.49,16.94070384,11.396496772766113,0.40417361,104216,141643,12,1/1,1
002058,威尔泰,通用设备,10.022172927856445,24.81,1.31023551,3.9108502864837646,0.06616827,104357,112230,2,1/1,1
002346,柘中股份,电网设备,10.018326759338379,18.01,1.20092452,1.7550534009933472,0.65432131,104448,104448,0,1/1,1
001387,雪祺电气,白色家电,9.96592903137207,12.91,1.11578823,7.7140116691589355,0.30237221,104936,104936,0,1/1,1
002910,庄园牧场,饮料乳品,10.00981330871582,11.21,1.87835213,10.147785186767578,1.72788967,110709,110709,0,1/1,1
600105,永鼎股份,通信设备,9.994396209716797,58.88,77.3048192,9.370461463928223,4.53811064,110711,110711,0,1/1,1
603663,三祥新材,化学原料,9.994697570800781,82.98,15.35609184,4.537237644195557,0.7797282,111528,112534,2,1/1,1
002805,丰元股份,电池,10.0,24.2,7.04721472,10.837099075317383,0.32134429,111709,111709,0,1/1,1
002993,奥海科技,消费电子,9.995401382446289,71.75,9.29399888,5.6098761558532715,0.73229843,130012,140221,1,1/1,1
603125,常青科技,化学制品,10.0,28.38,2.8863264,2.6313982009887695,0.53227314,130040,130040,0,1/1,1
001266,宏英智能,自动化设,10.0,50.16,1.69549223,6.090366363525391,0.46862481,130106,130106,0,1/1,1
600186,莲花控股,调味发酵,9.983498573303223,13.33,34.9401856,15.424531936645508,0.56893279,130122,140153,5,1/1,1
603042,华脉科技,通信设备,10.020986557006836,20.97,3.43514432,10.557602882385254,0.62203311,130203,130203,0,1/1,1
603989,艾华集团,元件,10.006414413452148,34.3,6.57278208,5.03095817565918,0.6272441,130203,130742,1,1/1,1
600888,新疆众和,工业金属,10.044053077697754,12.49,13.12353472,7.061389446258545,0.46450472,130517,135517,5,1/1,1
002436,兴森科技,元件,10.002494812011719,44.1,86.88812032,13.263081550598145,1.6322292,130536,140345,12,1/1,1
600615,鑫源智造,工业金属,9.967141151428223,10.04,0.8380724,3.8565657138824463,0.00826292,130833,145509,2,1/1,1
603861,白云电器,电网设备,10.013350486755371,16.48,4.71860256,5.708408832550049,0.51539832,130950,130950,0,1/1,1
600228,返利科技,数字媒体,9.987668991088867,8.92,4.58450912,12.945958137512207,0.00858996,131218,150000,20,1/1,1
000679,大连友谊,一般零售,10.049423217773438,6.68,0.75919659,3.3325400352478027,0.34995177,131318,131318,0,1/1,1
002672,东江环保,环境治理,9.887005805969238,3.89,0.9294155,2.8048601150512695,0.13296409,131354,131354,0,1/1,1
002729,好利科技,其他电子,10.0,19.47,1.81143061,5.539992332458496,0.39398265,131403,131403,0,1/1,1
605588,冠石科技,光学光电,9.992900848388672,61.97,2.6759205,6.1382036209106445,0.08867907,132155,140628,1,1/1,1
