code,name,industry,stage,pool_type,pool_subtype,source_file,trigger_price,invalid_price,zone_low,zone_high,rank,score,sector_strength_score,sector_strength_note,note
603616,韩建河山,水泥,0623D3,watch,active,0623D3_watch_scan_20260622_223139.csv,6.58,5.91,6.48,6.60,1,92.0,0.0,水泥同批候选1只,0623D3｜watch｜active｜D1炸板2次；D2量比温和1.20；D2有冲高回落；D2收盘离支撑有安全垫；D2盘中上冲明显；D2收盘近十字；成交额可跟踪；换手适中；水泥同批候选1只
000839,国安股份,通信服务,0623D3,watch,active,0623D3_watch_scan_20260622_223139.csv,2.94,2.59,2.90,2.95,2,81.0,2.0,通信服务同批候选1只；板块D2均涨3.2%,0623D3｜watch｜active｜D1较早封板；D1未炸板；D2量比2.02在2-3倍，需其他条件补强；D2有冲高回落；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中；通信服务同批候选1只；板块D2均涨3.2%
002907,华森制药,中药Ⅱ,0623D3,watch,active,0623D3_watch_scan_20260622_223139.csv,13.09,12.09,12.89,13.13,3,79.0,2.0,中药Ⅱ同批候选2只,0623D3｜watch｜active｜D1炸板1次；D2量比温和1.17；D2有冲高回落；D2收盘离支撑有安全垫；换手适中；中药Ⅱ同批候选2只
002158,汉钟精机,通用设备,0623D3,watch,active,0623D3_watch_scan_20260622_223139.csv,34.34,31.23,33.82,34.44,4,78.0,0.0,通用设备同批候选1只,0623D3｜watch｜active｜D1炸板1次；封板资金较足；D2量比略高1.40；D2回落充分；D2收盘离支撑有安全垫；成交额可跟踪；换手适中；通用设备同批候选1只
603956,威派格,专用设备,0623D3,watch,active,0623D3_watch_scan_20260622_223139.csv,5.17,4.53,5.09,5.19,5,75.0,4.0,专用设备同批候选2只；板块D2均涨2.5%,0623D3｜watch｜active｜D1未炸板；D2量比2.04在2-3倍，需其他条件补强；D2回落刚达标；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中；专用设备同批候选2只；板块D2均涨2.5%
000534,万泽股份,生物制品,0623D3,watch,active,0623D3_watch_scan_20260622_223139.csv,31.54,29.88,31.07,31.63,6,71.0,-4.0,生物制品同批候选1只；板块D2均跌2.5%,0623D3｜watch｜active｜D1炸板1次；D2量比略高1.53；D2有冲高回落；D2收盘离支撑有安全垫；成交额可跟踪；换手适中；生物制品同批候选1只；板块D2均跌2.5%
600162,香江控股,房地产开,0623D3,watch,radar,0623D3_watch_scan_20260622_223139.csv,3.94,3.30,3.88,3.95,7,83.0,4.0,房地产开同批候选1只；板块D2均涨10.1%,0623D3｜watch｜radar｜D1炸板2次；D2量比温和0.92；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中；D2高强度延续，不直接奖励进active；房地产开同批候选1只；板块D2均涨10.1%
603201,常润股份,汽车零部,0623D3,watch,radar,0623D3_watch_scan_20260622_223139.csv,20.39,17.53,20.08,20.45,8,82.0,4.0,汽车零部同批候选1只；板块D2均涨5.8%,0623D3｜watch｜radar｜D1炸板1次；D2量比略高1.69；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；D2收盘近十字；成交额可跟踪；换手适中；汽车零部同批候选1只；板块D2均涨5.8%
600545,卓郎智能,专用设备,0623D3,watch,radar,0623D3_watch_scan_20260622_223139.csv,7.34,6.65,7.23,7.36,9,81.0,4.0,专用设备同批候选2只；板块D2均涨2.5%,0623D3｜watch｜radar｜D1未炸板；封板资金较足；D2量比略高1.56；D2有冲高回落；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额超过15亿降权；换手适中；专用设备同批候选2只；板块D2均涨2.5%
002068,黑猫股份,橡胶,0623D3,watch,radar,0623D3_watch_scan_20260622_223139.csv,11.50,9.50,11.33,11.53,10,81.0,4.0,橡胶同批候选1只；板块D2均涨10.0%,0623D3｜watch｜radar｜D1较早封板；D1未炸板；封板资金较足；D2量比2.64在2-3倍，需其他条件补强；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中；D2高强度延续，不直接奖励进active；橡胶同批候选1只；板块D2均涨10.0%
002655,共达电声,消费电子,0623D3,watch,radar,0623D3_watch_scan_20260622_223139.csv,46.87,40.40,46.17,47.01,11,77.0,4.0,消费电子同批候选1只；板块D2均涨10.0%,0623D3｜watch｜radar｜D1较早封板；D1炸板3次偏多；D2量比温和0.73；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；D2收盘近十字；成交额可跟踪；换手适中；D2高强度延续，不直接奖励进active；消费电子同批候选1只；板块D2均涨10.0%
001296,长江材料,非金属材,0623D3,watch,radar,0623D3_watch_scan_20260622_223139.csv,22.62,18.69,22.28,22.69,12,76.0,4.0,非金属材同批候选1只；板块D2均涨10.0%,0623D3｜watch｜radar｜D1炸板1次；D2量比略高1.38；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中；D2高强度延续，不直接奖励进active；非金属材同批候选1只；板块D2均涨10.0%
