code,name,industry,stage,pool_type,pool_subtype,source_file,trigger_price,invalid_price,zone_low,zone_high,rank,score,sector_strength_score,sector_strength_note,note
002367,康力电梯,专用设备,0624D3,watch,active,0624D3_watch_scan_20260624_000337.csv,5.99,5.44,5.90,6.01,1,97.0,2.0,专用设备同批候选2只,0624D3｜watch｜active｜D1较早封板；D1炸板2次；D2量比温和1.18；D2回落充分；D2收盘离支撑有安全垫；D2盘中上冲明显；D2收盘近十字；成交额可跟踪；换手适中；专用设备同批候选2只
002386,天原股份,化学原料,0624D3,watch,active,0624D3_watch_scan_20260624_000337.csv,6.03,5.51,5.94,6.05,2,97.0,8.0,化学原料同批候选4只，板块聚集；板块D2均涨3.7%；板块内D2强势2只,0624D3｜watch｜active｜D1未炸板；D2量比温和1.13；D2回落刚达标；D2收盘离支撑有安全垫；D2收盘近十字；成交额可跟踪；换手适中；化学原料同批候选4只，板块聚集；板块D2均涨3.7%；板块内D2强势2只
603661,恒林股份,家居用品,0624D3,watch,active,0624D3_watch_scan_20260624_000337.csv,35.55,32.70,35.02,35.66,3,87.0,0.0,家居用品同批候选1只,0624D3｜watch｜active｜D1较早封板；D1炸板1次；D2量比温和1.13；D2有冲高回落；D2收盘离支撑有安全垫；成交额可跟踪；换手适中；家居用品同批候选1只
603065,宿迁联盛,化学制品,0624D3,watch,active,0624D3_watch_scan_20260624_000337.csv,17.90,16.51,17.63,17.95,4,86.0,4.0,化学制品同批候选3只，板块聚集,0624D3｜watch｜active｜D1较早封板；D1炸板2次；D2量比略高1.97；D2回落充分；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中；化学制品同批候选3只，板块聚集
600791,京能置业,房地产开,0624D3,watch,active,0624D3_watch_scan_20260624_000337.csv,10.71,10.08,10.55,10.74,5,86.0,0.0,房地产开同批候选1只,0624D3｜watch｜active｜D1较早封板；D1未炸板；D2量比略高1.47；D2回落充分；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中；房地产开同批候选1只
000012,南  玻Ａ,玻璃玻纤,0624D3,watch,active,0624D3_watch_scan_20260624_000337.csv,4.67,4.38,4.60,4.68,6,85.0,0.0,玻璃玻纤同批候选1只,0624D3｜watch｜active｜D1未炸板；D2量比略高1.69；D2有冲高回落；D2收盘离支撑有安全垫；D2收盘近十字；成交额可跟踪；换手适中；玻璃玻纤同批候选1只
600345,长江通信,通信设备,0624D3,watch,radar,0624D3_watch_scan_20260624_000337.csv,73.00,66.50,71.91,73.22,7,88.0,6.0,通信设备同批候选3只，板块聚集；板块D2均涨4.5%,0624D3｜watch｜radar｜D1未炸板；D2量比温和1.24；D2有冲高回落；D2收盘离支撑有安全垫；D2盘中上冲明显；D2收盘近十字；中高价73谨慎；成交额超过15亿降权；换手适中；通信设备同批候选3只，板块聚集；板块D2均涨4.5%
000571,新大洲A,煤炭开采,0624D3,watch,radar,0624D3_watch_scan_20260624_000337.csv,6.41,5.82,6.31,6.43,8,84.0,4.0,煤炭开采同批候选1只；板块D2均涨9.9%,0624D3｜watch｜radar｜D1早盘封板；D1炸板2次；D2量比略高1.59；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中；D2高强度延续，不直接奖励进active；煤炭开采同批候选1只；板块D2均涨9.9%
603607,京华激光,包装印刷,0624D3,watch,radar,0624D3_watch_scan_20260624_000337.csv,23.40,19.70,23.05,23.47,9,80.0,4.0,包装印刷同批候选1只；板块D2均涨8.0%,0624D3｜watch｜radar｜D1未炸板；D2量比略高1.95；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中；D2高强度延续，不直接奖励进active；包装印刷同批候选1只；板块D2均涨8.0%
002830,名雕股份,装修装饰,0624D3,watch,radar,0624D3_watch_scan_20260624_000337.csv,17.77,14.68,17.50,17.82,10,80.0,4.0,装修装饰同批候选2只；板块D2均涨2.7%,0624D3｜watch｜radar｜D1未炸板；D2量比略高1.30；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中；D2高强度延续，不直接奖励进active；装修装饰同批候选2只；板块D2均涨2.7%
002672,东江环保,环境治理,0624D3,watch,radar,0624D3_watch_scan_20260624_000337.csv,4.13,3.55,4.07,4.14,11,80.0,8.0,环境治理同批候选2只；板块D2均涨10.1%；板块内D2强势2只,0624D3｜watch｜radar｜D1较早封板；D1未炸板；封板资金较足；D2量比2.58在2-3倍，需其他条件补强；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；D2盘中上冲明显；换手适中；D2高强度延续，不直接奖励进active；环境治理同批候选2只；板块D2均涨10.1%；板块内D2强势2只
605580,恒盛能源,电力,0624D3,watch,radar,0624D3_watch_scan_20260624_000337.csv,29.07,25.00,28.63,29.16,12,77.0,4.0,电力同批候选1只；板块D2均涨10.0%,0624D3｜watch｜radar｜D1较早封板；D1炸板2次；D2量比略高1.69；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；成交额可跟踪；换手适中；D2高强度延续，不直接奖励进active；电力同批候选1只；板块D2均涨10.0%
