code,name,industry,pct,price,amount_yi,turnover,fund_yi,first_seal,last_seal,breaks,stat,limit_boards
000631,顺发恒能,电力,9.86842155456543,3.34,0.54824898,0.7136799693107605,1.05121824,092500,092500,0,1/1,1
002203,海亮股份,工业金属,10.015487670898438,21.31,5.7184624,1.2130619287490845,1.04400247,092500,092500,0,1/1,1
600141,兴发集团,农化制品,10.016806602478027,32.73,3.48147728,0.8851301074028015,3.41742439,092502,092502,0,1/1,1
600470,六国化工,农化制品,10.097086906433105,5.67,0.85129711,2.884946584701538,0.40719331,093009,093009,0,1/1,1
002490,山东墨龙,专用设备,10.025707244873047,8.56,9.04108592,19.606021881103516,0.1808728,093127,144521,2,4/2,1
002824,和胜股份,工业金属,9.984756469726562,28.86,8.62631744,13.560506820678711,0.65644349,093300,103321,1,1/1,1
601137,博威合金,金属新材,10.01780891418457,24.71,5.13238976,2.3078861236572266,1.38297718,093401,093425,1,1/1,1
603014,威高血净,医疗器械,10.003313064575195,33.21,0.82766371,2.4874956607818604,0.5587712,093613,093613,0,1/1,1
002965,祥鑫科技,汽车零部,9.988584518432617,38.54,5.88486464,8.096460342407227,0.87265351,093703,094233,1,1/1,1
601958,金钼股份,小金属,10.004741668701172,23.2,10.73300384,1.4601962566375732,3.42819022,093718,093824,1,1/1,1
605069,正和生态,环境治理,10.0,11.55,0.95655968,4.032011985778809,0.37654386,093729,093729,0,3/2,1
002254,泰和新材,化学纤维,10.0,18.92,15.68661744,10.051666259765625,0.866077,093751,100436,1,5/4,1
600067,冠城新材,电网设备,10.10452938079834,3.16,1.23630707,2.8481552600860596,0.39344212,093936,094045,1,1/1,1
600459,贵研铂业,小金属,9.986859321594238,25.11,8.22988576,4.425225734710693,1.22124996,093951,093951,0,1/1,1
600322,津投城开,房地产开,10.0,2.86,1.94493222,6.247745513916016,0.27584391,094003,094909,1,1/1,1
002842,翔鹭钨业,小金属,10.011185646057129,39.34,15.99474752,15.586928367614746,2.92831224,094109,094109,0,1/1,1
001257,盛龙股份,小金属,9.986916542053223,25.22,8.27510544,24.474119186401367,0.67588288,094436,103100,2,1/1,1
000032,深桑达Ａ,专业工程,9.974424362182617,17.2,6.11785984,3.200562000274658,0.6185636,094506,094506,0,1/1,1
603324,盛剑科技,环保设备,10.016260147094727,33.83,1.7687661,3.6423587799072266,0.75463227,094532,094532,0,1/1,1
000510,新金路,化学原料,9.993753433227539,17.61,5.8325056,5.61178731918335,0.92763668,094536,094751,1,1/1,1
600108,亚盛集团,种植业,10.030394554138184,3.62,2.70645536,3.9636220932006836,0.84590317,094853,102847,1,1/1,1
603657,春光科技,家电零部,10.017271041870117,25.48,0.6392618,1.9265027046203613,0.67720744,095008,095008,0,1/1,1
002378,章源钨业,小金属,10.00981330871582,33.63,41.01364288,10.403814315795898,1.72354758,095012,103518,4,1/1,1
603315,福鞍股份,环境治理,10.0,16.5,2.41789339,4.643613815307617,0.98393262,095221,095221,0,1/1,1
600979,广安爱众,电力,9.911893844604492,4.99,3.31790016,5.51251745223999,0.97000659,095950,095950,0,1/1,1
002654,万润科技,光学光电,10.006807327270508,16.16,15.95280224,11.929871559143066,0.59187616,100354,111503,3,1/1,1
002469,三维化学,化学原料,10.0,6.93,1.9446789,4.5477294921875,0.15156998,101357,101930,2,1/1,1
001696,宗申动力,通用设备,10.026247024536133,20.96,29.64574928,16.470720291137695,1.39280939,103006,105015,2,4/3,1
603992,松霖科技,家居用品,9.996552467346191,31.91,2.282079,1.6554969549179077,0.43037304,104318,104318,0,1/1,1
603936,博敏电子,元件,10.018552780151367,23.72,12.02593344,8.294075965881348,1.00514638,104418,104418,0,1/1,1
000921,海信家电,白色家电,9.9849853515625,29.3,9.29068688,3.5207056999206543,0.40654658,105033,140630,2,1/1,1
600353,旭光电子,其他电子,9.99265193939209,29.94,30.1601744,12.564119338989258,0.78431392,105153,144305,4,1/1,1
600667,太极实业,工程咨询,9.98743724822998,17.51,56.67834368,16.217021942138672,1.64889796,105803,111809,3,1/1,1
002428,云南锗业,小金属,9.997507095336914,88.24,112.81621248,19.991600036621094,0.28782476,110003,145400,6,1/1,1
002913,奥士康,元件,9.998000144958496,55.01,4.18225632,2.624690532684326,0.28916831,110048,110048,0,1/1,1
600722,金牛化工,化学原料,9.959349632263184,10.82,10.71425904,15.201340675354004,0.45742632,111743,132446,2,1/1,1
603399,永杉锂业,能源金属,9.97706413269043,19.18,16.80991472,17.838180541992188,0.99066982,130009,130009,0,1/1,1
000688,国城矿业,工业金属,10.0,45.32,22.70275984,4.34536075592041,0.19588391,131024,145036,7,1/1,1
603678,火炬电子,军工电子,10.00355339050293,61.91,25.54446368,9.064703941345215,2.46762178,131409,131442,1,1/1,1
001268,联合精密,家电零部,9.994739532470703,41.82,1.58976758,5.798171043395996,0.44931408,131933,131933,0,1/1,1
002549,凯美特气,化学制品,10.0,18.15,12.69030416,10.415844917297363,1.47284436,132654,132654,0,1/1,1
603355,莱克电气,小家电,10.004066467285156,27.05,0.93985297,0.6298395991325378,0.342453,134000,134000,0,1/1,1
002407,多氟多,化学制品,9.994239807128906,38.19,79.1965568,20.131423950195312,2.71363016,135209,135209,0,1/1,1
603318,水发燃气,燃气Ⅱ,10.055866241455078,9.85,8.04047808,18.930448532104492,0.38152005,141326,141326,0,1/1,1
603991,领先股份,半导体,10.001830101013184,120.21,6.91086192,7.962718486785889,0.47819538,144336,144336,0,1/1,1
