code,name,industry,pct,price,amount_yi,turnover,fund_yi,first_seal,last_seal,breaks,stat,limit_boards
002354,天娱数科,广告营销,10.082645416259766,6.66,8.3124696,7.686609268188477,1.02169062,092500,103451,4,1/1,1
603888,新华网,数字媒体,10.0,19.25,1.93024486,1.486094355583191,1.25547999,092501,092501,0,1/1,1
603859,能科科技,IT服务Ⅱ,9.995148658752441,45.34,10.92319568,9.905029296875,0.21182848,093100,144206,7,1/1,1
002421,达实智能,IT服务Ⅱ,9.91561222076416,5.21,40.03760016,38.89703369140625,0.6919488,093109,112906,6,16/9,1
002471,中超控股,电网设备,9.95850658416748,7.95,7.47418128,7.036205768585205,1.44489262,093130,093130,0,1/1,1
002251,步步高,一般零售,9.954751014709473,4.86,16.38265984,15.943615913391113,0.91781182,093221,144733,1,1/1,1
002903,宇环数控,通用设备,10.011480331420898,47.91,2.39599323,4.754900932312012,1.0065891,093245,093245,0,4/2,1
000517,荣安地产,房地产开,9.844559669494629,2.12,1.14351278,2.204314947128296,0.3675586,093251,093330,1,1/1,1
000759,中百集团,一般零售,10.038609504699707,5.7,3.4739024,9.500517845153809,0.40319235,093327,093457,1,1/1,1
600516,方大炭素,冶钢原料,10.0,5.83,7.5194792,3.2273190021514893,0.23243265,093810,095904,1,3/2,1
002194,武汉凡谷,通信设备,9.963768005371094,12.14,4.31494464,7.095822334289551,1.56950266,093954,093954,0,1/1,1
600776,东方通信,通信设备,10.006901741027832,15.94,4.49772784,3.0104432106018066,0.79330781,094449,094449,0,1/1,1
603938,三孚股份,化学原料,9.995835304260254,52.82,24.48427504,12.383955001831055,0.47216643,094945,144954,6,3/2,1
002387,维信诺,光学光电,9.97624683380127,9.26,8.2691944,6.471541881561279,0.15608637,095212,145033,5,1/1,1
603823,XD百合花,化学制品,9.988860130310059,29.62,5.92463984,4.891592502593994,0.13383737,095248,143150,18,1/1,1
002613,北玻股份,玻璃玻纤,9.977827072143555,4.96,5.85531408,15.801454544067383,0.74787028,095306,095351,1,1/1,1
000668,荣丰控股,房地产开,9.9893159866333,20.59,1.1397817,3.847417116165161,0.40811912,095524,095524,0,1/1,1
600552,凯盛科技,光学光电,9.979736328125,21.71,29.79782672,14.898425102233887,0.22668865,095643,143658,15,1/1,1
600973,宝胜股份,电网设备,9.956709861755371,7.62,6.98116128,6.802299499511719,0.50349912,095645,141430,3,1/1,1
600714,金瑞矿业,化学原料,9.99665641784668,32.9,6.87557872,7.600383758544922,0.3541356,095957,100548,3,1/1,1
002254,泰和新材,化学纤维,9.985836029052734,15.53,12.71458816,9.94754695892334,0.04777028,101242,145421,13,1/1,1
002361,神剑股份,塑料,10.013089179992676,16.81,24.21921856,18.36015510559082,1.99869471,101345,102745,1,1/1,1
600382,广东明珠,冶钢原料,10.0,9.68,7.20800208,10.912911415100098,0.0173272,101418,145615,21,1/1,1
603124,江南新材,金属新材,9.998035430908203,168.0,6.64079728,5.227906703948975,0.233856,101424,111227,1,1/1,1
600207,安彩高科,光伏设备,9.938838005065918,7.19,5.496808,7.333527565002441,0.26303169,102049,103743,2,1/1,1
000608,阳光股份,房地产开,9.960159301757812,5.52,4.14784576,10.270207405090332,0.17623041,102506,140018,13,1/1,1
603159,上海亚虹,专用设备,9.991876602172852,27.08,1.39812137,3.7823092937469482,0.21425696,104054,104054,0,1/1,1
600063,皖维高新,化学纤维,10.0401611328125,8.22,24.63355168,14.846142768859863,0.1805504,104318,145251,16,1/1,1
002183,怡 亚 通,贸易Ⅱ,10.047096252441406,7.01,13.84468192,7.857981204986572,1.31526737,104445,104445,0,1/1,1
603078,江化微,电子化学,10.005293846130371,41.56,23.3723552,15.204099655151367,0.24812151,104451,144542,7,1/1,1
600819,耀皮玻璃,玻璃玻纤,10.0,7.04,1.6547516,3.2196149826049805,0.22618112,105307,105307,0,1/1,1
002877,智能自控,通用设备,10.06369400024414,8.64,1.40619227,7.095142841339111,0.53361504,110800,110800,0,1/1,1
001400,江顺科技,专用设备,10.004733085632324,116.22,2.902264,5.637197494506836,0.39793728,111109,111627,1,1/1,1
002983,芯瑞达,光学光电,10.008857727050781,24.84,1.81192689,5.964663028717041,0.56566418,111609,111609,0,1/1,1
603070,万控智造,电网设备,9.993425369262695,16.73,1.42175847,2.275327682495117,0.47069855,112058,112058,0,1/1,1
002631,德尔未来,家居用品,10.044313430786133,7.45,3.21759776,5.6613359451293945,0.26944415,112112,130024,1,1/1,1
600303,曙光股份,商用车,10.158730506896973,3.47,2.62269161,11.75617504119873,0.33173547,130028,130028,0,1/1,1
002138,顺络电子,元件,10.009891510009766,55.61,43.0336384,10.722772598266602,0.23868423,130048,145300,9,1/1,1
600996,贵广网络,电视广播,9.964829444885254,9.38,5.09900768,4.547547340393066,0.93011507,130105,131232,4,1/1,1
603360,百傲化学,农化制品,10.010881423950195,20.22,5.00803472,3.7180557250976562,0.55963743,130130,130130,0,1/1,1
603992,松霖科技,家居用品,10.0,32.78,2.20651171,1.568955898284912,0.52519525,130613,130613,0,1/1,1
002708,光洋股份,汽车零部,9.986129760742188,15.86,9.46710528,11.908154487609863,0.09804017,130727,134718,8,1/1,1
002960,青鸟智控,专用设备,9.950248718261719,8.84,3.04917632,3.6596148014068604,0.15597667,130948,131727,1,1/1,1
001256,炜冈科技,专用设备,10.017730712890625,24.82,1.61028903,6.260910987854004,0.19908122,131348,141630,2,1/1,1
603166,福达股份,汽车零部,9.975469589233398,13.45,1.97998235,2.4168694019317627,0.1534376,131452,131452,0,1/1,1
002892,科力尔,电机Ⅱ,10.010110855102539,10.88,3.295656,6.403580188751221,0.03681792,131515,133139,5,1/1,1
002786,银宝山新,专用设备,9.962639808654785,8.83,3.33092112,7.962112903594971,0.04184537,131851,145427,12,1/1,1
002896,中大力德,通用设备,10.002535820007324,86.77,23.51434352,14.611720085144043,0.36572687,131906,143706,12,4/2,1
603790,XD雅运股,化学制品,9.983831405639648,27.21,1.49785991,3.0014631748199463,0.20263287,132256,141117,2,1/1,1
603725,天安新材,家居用品,10.025707244873047,12.84,3.4370648,9.797113418579102,0.28617792,133805,135802,2,1/1,1
603020,爱普股份,化学制品,10.0,10.67,1.18097061,3.048149347305298,0.74821241,134112,134112,0,1/1,1
003009,中天火箭,航天装备,10.007942199707031,55.4,3.41843776,3.905165672302246,0.9110264,134721,134721,0,1/1,1
603270,金帝股份,通用设备,10.014781951904297,29.77,2.12883106,10.740133285522461,0.47280773,135404,135404,0,1/1,1
600881,亚泰集团,综合Ⅱ,10.0,1.65,2.57858371,4.996262073516846,0.07655587,140657,143121,2,1/1,1
603578,三星新材,家电零部,10.0,15.51,1.34591831,5.032491207122803,0.70648453,142224,142224,0,1/1,1
603048,浙江黎明,汽车零部,10.0,20.79,0.7675734,2.6312637329101562,0.31519719,143850,143850,0,1/1,1
