code,name,industry,stage,pool_type,pool_subtype,source_file,trigger_price,invalid_price,zone_low,zone_high,rank,score,sector_strength_score,sector_strength_note,note
603020,爱普股份,化学制品,0622D3,watch,active,0622D3_watch_scan_20260622_021422.csv,13.96,12.88,13.75,14.00,1,90.0,2.0,化学制品同批候选2只,0622D3｜watch｜active｜D1炸板1次；封板资金偏弱；D2量比温和1.12；D2有冲高回落；D2收盘离支撑有安全垫；D2盘中上冲明显；D2收盘近十字；成交额可跟踪；换手适中；化学制品同批候选2只
001223,欧克科技,自动化设,0622D3,watch,active,0622D3_watch_scan_20260622_021422.csv,49.05,45.30,48.31,49.20,2,89.0,0.0,自动化设同批候选1只,0622D3｜watch｜active｜D1未炸板；封板资金较足；D2量比温和1.07；D2回落充分；D2收盘离支撑有安全垫；成交额可跟踪；换手适中；自动化设同批候选1只
002906,华阳集团,汽车零部,0622D3,watch,active,0622D3_watch_scan_20260622_021422.csv,29.19,26.27,28.75,29.28,3,86.0,0.0,汽车零部同批候选1只,0622D3｜watch｜active｜D1较早封板；D1未炸板；封板资金较足；D2量比2.25在2-3倍，需其他条件补强；D2有冲高回落；D2收盘离支撑有安全垫；D2收盘近十字；成交额可跟踪；换手适中；汽车零部同批候选1只
603637,镇海股份,专业工程,0622D3,watch,active,0622D3_watch_scan_20260622_021422.csv,18.72,16.66,18.44,18.78,4,78.0,2.0,专业工程同批候选1只；板块D2均涨2.5%,0622D3｜watch｜active｜D1较早封板；D1未炸板；D2量比2.00在2-3倍，需其他条件补强；D2回落刚达标；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中；专业工程同批候选1只；板块D2均涨2.5%
002579,中京电子,元件,0622D3,watch,radar,0622D3_watch_scan_20260622_021422.csv,20.32,16.79,20.02,20.38,5,90.0,6.0,元件同批候选2只；板块D2均涨5.4%,0622D3｜watch｜radar｜D1炸板1次；封板资金较足；D2量比温和0.73；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中；D2高强度延续，不直接奖励进active；元件同批候选2只；板块D2均涨5.4%
603261,立航科技,航空装备,0622D3,watch,radar,0622D3_watch_scan_20260622_021422.csv,44.77,37.00,44.10,44.90,6,83.0,4.0,航空装备同批候选1只；板块D2均涨10.0%,0622D3｜watch｜radar｜D1较早封板；D1炸板1次；D2量比温和1.17；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；D2盘中上冲明显；换手适中；D2高强度延续，不直接奖励进active；航空装备同批候选1只；板块D2均涨10.0%
603324,盛剑科技,环保设备,0622D3,watch,radar,0622D3_watch_scan_20260622_021422.csv,43.10,35.62,42.45,43.23,7,80.0,4.0,环保设备同批候选1只；板块D2均涨10.0%,0622D3｜watch｜radar｜D1未炸板；D2量比略高1.27；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中；D2高强度延续，不直接奖励进active；环保设备同批候选1只；板块D2均涨10.0%
000695,滨海能源,电池,0622D3,watch,radar,0622D3_watch_scan_20260622_021422.csv,14.17,13.15,13.96,14.21,8,70.0,-4.0,电池同批候选1只；板块D2均跌2.1%,0622D3｜watch｜radar｜D1尾盘封板强降权；D1未炸板；D2量比温和1.00；D2有冲高回落；D2收盘离支撑有安全垫；D2收盘近十字；成交额可跟踪；换手适中；电池同批候选1只；板块D2均跌2.1%
000811,冰轮环境,通用设备,0622D3,watch,radar,0622D3_watch_scan_20260622_021422.csv,40.17,36.52,39.57,40.29,9,66.0,4.0,通用设备同批候选1只；板块D2均涨10.0%,0622D3｜watch｜radar｜D1早盘封板；D1未炸板；封板资金较足；D2缩量过弱0.44；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；D2高强度延续，不直接奖励进active；通用设备同批候选1只；板块D2均涨10.0%
000672,上峰材料,水泥,0622D3,watch,radar,0622D3_watch_scan_20260622_021422.csv,18.71,17.30,18.43,18.77,10,65.0,0.0,水泥同批候选1只,0622D3｜watch｜radar｜D1炸板3次偏多；封板资金偏弱；D2量比温和0.83；D2有冲高回落；D2收盘离支撑有安全垫；成交额可跟踪；换手适中；水泥同批候选1只
