code,name,industry,pct,price,amount_yi,turnover,fund_yi,first_seal,last_seal,breaks,stat,limit_boards
002167,东方锆业,小金属,10.027284622192383,16.13,4.56136208,3.7271997928619385,4.17903298,092500,092500,0,1/1,1
001216,华瓷股份,家居用品,9.987358093261719,17.4,0.4804488,1.1244813203811646,0.442134,092500,092500,0,1/1,1
000889,中嘉博创,通信服务,10.13698673248291,4.02,1.85238794,5.3038153648376465,0.5568303,092500,093754,1,1/1,1
600769,祥龙电业,环境治理,9.988518714904785,19.16,1.03592372,1.441874384880066,1.47585648,092502,092502,0,1/1,1
603407,长裕集团,化学原料,10.008084297180176,68.04,1.60103359,6.552343368530273,1.6815562,092503,092503,0,4/3,1
603663,三祥新材,化学原料,9.99497127532959,87.49,16.2425792,4.4168291091918945,0.36515088,093047,141138,2,3/2,1
002805,丰元股份,电池,9.983633041381836,26.88,8.28417904,11.121984481811523,0.2923036,093118,104248,7,3/2,1
600851,海欣股份,化学制药,9.986320495605469,8.04,1.33772695,2.2767937183380127,0.72708936,093533,094620,2,1/1,1
002655,共达电声,消费电子,9.98967456817627,42.61,16.15779712,10.523432731628418,0.28970539,093645,131651,3,1/1,1
603358,华达科技,汽车零部,9.994416236877441,39.4,11.45972352,6.322932243347168,0.128641,093648,144715,23,1/1,1
600362,江西铜业,工业金属,10.008254051208496,53.31,65.80530688,6.0043792724609375,2.54477577,093723,112823,3,4/2,1
002283,天润工业,汽车零部,10.039761543273926,11.07,4.71664384,4.302578449249268,0.6847902,093824,095042,1,1/1,1
600076,康欣新材,包装印刷,9.880239486694336,3.67,1.05794663,2.202329158782959,0.50226625,093941,093941,0,1/1,1
603223,恒通股份,炼化及贸,9.956709861755371,10.16,1.53506811,2.1901607513427734,0.49959422,094122,094225,1,1/1,1
002297,博云新材,航空装备,10.007758140563965,28.36,32.92499344,20.563608169555664,0.4504986,094218,140054,23,1/1,1
600399,抚顺特钢,特钢Ⅱ,10.093896865844727,4.69,3.52848608,3.9083545207977295,0.50311674,094629,095211,2,1/1,1
603211,晋拓股份,汽车零部,9.990944862365723,36.44,3.25167872,3.3738152980804443,1.09057632,094941,094941,0,1/1,1
603001,奥康国际,服装家纺,9.99074935913086,11.89,4.74165408,10.141485214233398,0.0398315,095035,145035,12,1/1,1
600259,中稀有色,小金属,9.999053955078125,116.28,38.15954816,9.936297416687012,0.60044782,095329,141326,3,1/1,1
600392,盛和资源,小金属,10.006949424743652,31.66,83.11378432,15.230520248413086,0.57822114,095528,142319,15,3/2,1
002897,意华股份,通信设备,10.0,96.8,12.25820496,7.131098747253418,1.01391901,095554,130051,1,4/2,1
