local_time,quote_time,code,name,price,pct,open,high,low,prev_close,amount,trigger_price,invalid_price
2026-06-09T09:25:16,2026-06-09 09:25:00,001256,炜冈科技,24.85,0.8523,24.85,24.85,24.85,24.64,1550640.0,24.64,22.56
2026-06-09T09:25:16,2026-06-09 09:25:01,600303,曙光股份,3.41,-0.2924,3.41,3.41,3.41,3.42,4170771.0,3.42,3.15
2026-06-09T09:25:16,2026-06-09 09:25:00,002983,芯瑞达,24.2,0.8754,24.2,24.2,24.2,23.99,1016400.0,23.99,22.58
2026-06-09T09:25:16,2026-06-09 09:25:01,603270,金帝股份,30.37,0.9641,30.37,30.37,30.37,30.08,2189677.0,30.08,27.06
2026-06-09T09:25:16,2026-06-09 09:25:00,002194,武汉凡谷,12.18,-1.9324,12.18,12.18,12.18,12.42,16831542.0,12.42,11.2
2026-06-09T09:25:16,2026-06-09 09:25:01,600819,耀皮玻璃,6.86,2.0833,6.86,6.86,6.86,6.72,856128.0,6.72,6.4
2026-06-09T09:25:16,2026-06-09 09:25:00,000670,盈方微,9.78,7.1194,9.78,9.78,9.78,9.13,38820732.0,9.42,8.666
2026-06-09T09:26:17,2026-06-09 09:25:00,001256,炜冈科技,24.85,0.8523,24.85,24.85,24.85,24.64,1550640.0,24.64,22.56
2026-06-09T09:26:17,2026-06-09 09:25:55,600303,曙光股份,3.41,-0.2924,3.41,3.41,3.41,3.42,4170771.0,3.42,3.15
2026-06-09T09:26:17,2026-06-09 09:25:00,002983,芯瑞达,24.2,0.8754,24.2,24.2,24.2,23.99,1016400.0,23.99,22.58
2026-06-09T09:26:17,2026-06-09 09:25:47,603270,金帝股份,30.37,0.9641,30.37,30.37,30.37,30.08,2189677.0,30.08,27.06
2026-06-09T09:26:17,2026-06-09 09:25:00,002194,武汉凡谷,12.18,-1.9324,12.18,12.18,12.18,12.42,16831542.0,12.42,11.2
2026-06-09T09:26:17,2026-06-09 09:25:58,600819,耀皮玻璃,6.86,2.0833,6.86,6.86,6.86,6.72,856128.0,6.72,6.4
