local_time,quote_time,code,name,price,pct,open,high,low,prev_close,amount,trigger_price,invalid_price
2026-06-03T09:25:07,2026-06-03 09:25:01,600301,华锡有色,67.99,2.1638,67.99,67.99,67.99,66.55,38325963.0,66.55,56.1
2026-06-03T09:25:07,2026-06-03 09:25:00,002421,达实智能,4.88,-1.8109,4.88,4.88,4.88,4.97,113015920.0,4.97,4.11
2026-06-03T09:25:07,2026-06-03 09:25:00,001210,金房能源,35.0,-5.0461,35.0,35.0,35.0,36.86,26148500.0,36.86,30.6
2026-06-03T09:25:07,2026-06-03 09:25:01,600367,红星发展,42.7,9.9382,42.7,42.7,42.7,38.84,112147280.0,38.84,33.9
2026-06-03T09:25:07,2026-06-03 09:25:00,000055,方大集团,4.43,5.7279,4.43,4.43,4.43,4.19,28377060.51,4.19,3.46
2026-06-03T09:25:07,2026-06-03 09:25:02,600121,郑州煤电,5.1,-1.354,5.1,5.1,5.1,5.17,55513500.0,5.17,4.27
2026-06-03T09:25:07,2026-06-03 09:25:01,600596,新安股份,13.23,1.0695,13.23,13.23,13.23,13.09,5196744.0,13.09,12.08
2026-06-03T09:25:07,2026-06-03 09:25:01,603991,领先股份,111.22,0.9897,111.22,111.22,111.22,110.13,1000980.0,110.13,104.0
2026-06-03T09:25:07,2026-06-03 09:25:00,002700,万憬能源,8.07,1.6373,8.07,8.07,8.07,7.94,8657027.94,7.94,6.97
2026-06-03T09:25:07,2026-06-03 09:25:00,002955,鸿合科技,25.15,0.0,25.15,25.15,25.15,25.15,525635.0,25.15,23.2
2026-06-03T09:25:07,2026-06-03 09:25:01,600540,新赛股份,5.0,1.626,5.0,5.0,5.0,4.92,1795500.0,4.92,4.54
2026-06-03T09:25:07,2026-06-03 09:25:00,000799,酒鬼酒,44.82,-1.9256,44.82,44.82,44.82,45.7,13073994.0,45.3,41.58
2026-06-03T09:25:07,2026-06-03 09:25:02,600979,广安爱众,5.2,0.0,5.2,5.2,5.2,5.2,3705520.0,5.27,4.82
2026-06-03T09:25:07,2026-06-03 09:25:00,001269,欧晶科技,26.69,-0.8912,26.69,26.69,26.69,26.93,7216976.0,26.08,24.22
2026-06-03T09:26:07,2026-06-03 09:25:48,600301,华锡有色,67.99,2.1638,67.99,67.99,67.99,66.55,38325963.0,66.55,56.1
2026-06-03T09:26:07,2026-06-03 09:25:00,002421,达实智能,4.88,-1.8109,4.88,4.88,4.88,4.97,113015920.0,4.97,4.11
2026-06-03T09:26:07,2026-06-03 09:25:00,001210,金房能源,35.0,-5.0461,35.0,35.0,35.0,36.86,26148500.0,36.86,30.6
2026-06-03T09:26:07,2026-06-03 09:25:37,600367,红星发展,42.7,9.9382,42.7,42.7,42.7,38.84,112147280.0,38.84,33.9
2026-06-03T09:26:07,2026-06-03 09:25:00,000055,方大集团,4.43,5.7279,4.43,4.43,4.43,4.19,28377060.51,4.19,3.46
2026-06-03T09:26:07,2026-06-03 09:25:50,600121,郑州煤电,5.1,-1.354,5.1,5.1,5.1,5.17,55513500.0,5.17,4.27
2026-06-03T09:26:07,2026-06-03 09:25:51,600596,新安股份,13.23,1.0695,13.23,13.23,13.23,13.09,5196744.0,13.09,12.08
