local_time,quote_time,code,name,price,pct,open,high,low,prev_close,amount,trigger_price,invalid_price
2026-06-24T09:25:26,2026-06-24 09:25:00,002367,康力电梯,5.97,-0.3339,5.97,5.97,5.97,5.99,1558767.0,5.99,5.44
2026-06-24T09:25:26,2026-06-24 09:25:00,002386,天原股份,5.99,-0.6633,5.99,5.99,5.99,6.03,2838661.0,6.03,5.51
2026-06-24T09:25:26,2026-06-24 09:25:11,603661,恒林股份,35.1,-1.2658,35.1,35.1,35.1,35.55,4138290.0,35.55,32.7
2026-06-24T09:25:26,2026-06-24 09:25:01,603065,宿迁联盛,17.88,-0.1117,17.88,17.88,17.88,17.9,21945912.0,17.9,16.51
2026-06-24T09:25:26,2026-06-24 09:25:12,600791,京能置业,10.81,0.9337,10.81,10.81,10.81,10.71,2377400.0,10.71,10.08
2026-06-24T09:25:26,2026-06-24 09:25:00,000012,南  玻Ａ,4.65,-0.4283,4.65,4.65,4.65,4.67,6070449.45,4.67,4.38
2026-06-24T09:25:26,2026-06-24 09:25:03,600183,生益科技,167.9,0.0179,167.9,167.9,167.9,167.87,143900878.0,189.0,173.88
2026-06-24T09:25:26,2026-06-24 09:25:02,600769,祥龙电业,21.92,-0.2276,21.92,21.92,21.92,21.97,11521152.0,21.99,20.231
2026-06-24T09:26:29,2026-06-24 09:25:00,002367,康力电梯,5.97,-0.3339,5.97,5.97,5.97,5.99,1558767.0,5.99,5.44
2026-06-24T09:26:29,2026-06-24 09:25:00,002386,天原股份,5.99,-0.6633,5.99,5.99,5.99,6.03,2838661.0,6.03,5.51
2026-06-24T09:26:29,2026-06-24 09:26:11,603661,恒林股份,35.1,-1.2658,35.1,35.1,35.1,35.55,4138290.0,35.55,32.7
2026-06-24T09:26:29,2026-06-24 09:25:58,603065,宿迁联盛,17.88,-0.1117,17.88,17.88,17.88,17.9,21945912.0,17.9,16.51
2026-06-24T09:26:29,2026-06-24 09:26:12,600791,京能置业,10.81,0.9337,10.81,10.81,10.81,10.71,2377400.0,10.71,10.08
2026-06-24T09:26:29,2026-06-24 09:25:00,000012,南  玻Ａ,4.65,-0.4283,4.65,4.65,4.65,4.67,6070449.45,4.67,4.38
2026-06-24T09:26:29,2026-06-24 09:26:03,600183,生益科技,167.9,0.0179,167.9,167.9,167.9,167.87,143900878.0,189.0,173.88
2026-06-24T09:26:29,2026-06-24 09:25:58,600769,祥龙电业,21.92,-0.2276,21.92,21.92,21.92,21.97,11521152.0,21.99,20.231
2026-06-24T09:27:29,2026-06-24 09:25:00,002367,康力电梯,5.97,-0.3339,5.97,5.97,5.97,5.99,1558767.0,5.99,5.44
2026-06-24T09:27:29,2026-06-24 09:25:00,002386,天原股份,5.99,-0.6633,5.99,5.99,5.99,6.03,2838661.0,6.03,5.51
2026-06-24T09:27:29,2026-06-24 09:27:11,603661,恒林股份,35.1,-1.2658,35.1,35.1,35.1,35.55,4138290.0,35.55,32.7
2026-06-24T09:27:29,2026-06-24 09:26:58,603065,宿迁联盛,17.88,-0.1117,17.88,17.88,17.88,17.9,21945912.0,17.9,16.51
2026-06-24T09:27:29,2026-06-24 09:27:12,600791,京能置业,10.81,0.9337,10.81,10.81,10.81,10.71,2377400.0,10.71,10.08
2026-06-24T09:27:29,2026-06-24 09:25:00,000012,南  玻Ａ,4.65,-0.4283,4.65,4.65,4.65,4.67,6070449.45,4.67,4.38
2026-06-24T09:27:29,2026-06-24 09:27:03,600183,生益科技,167.9,0.0179,167.9,167.9,167.9,167.87,143900878.0,189.0,173.88
2026-06-24T09:27:29,2026-06-24 09:26:58,600769,祥龙电业,21.92,-0.2276,21.92,21.92,21.92,21.97,11521152.0,21.99,20.231
2026-06-24T09:28:31,2026-06-24 09:25:00,002367,康力电梯,5.97,-0.3339,5.97,5.97,5.97,5.99,1558767.0,5.99,5.44
2026-06-24T09:28:31,2026-06-24 09:25:00,002386,天原股份,5.99,-0.6633,5.99,5.99,5.99,6.03,2838661.0,6.03,5.51
2026-06-24T09:28:31,2026-06-24 09:28:11,603661,恒林股份,35.1,-1.2658,35.1,35.1,35.1,35.55,4138290.0,35.55,32.7
2026-06-24T09:28:31,2026-06-24 09:28:28,603065,宿迁联盛,17.88,-0.1117,17.88,17.88,17.88,17.9,21945912.0,17.9,16.51
2026-06-24T09:28:31,2026-06-24 09:28:12,600791,京能置业,10.81,0.9337,10.81,10.81,10.81,10.71,2377400.0,10.71,10.08
2026-06-24T09:28:31,2026-06-24 09:25:00,000012,南  玻Ａ,4.65,-0.4283,4.65,4.65,4.65,4.67,6070449.45,4.67,4.38
2026-06-24T09:28:31,2026-06-24 09:28:03,600183,生益科技,167.9,0.0179,167.9,167.9,167.9,167.87,143900878.0,189.0,173.88
2026-06-24T09:28:31,2026-06-24 09:28:28,600769,祥龙电业,21.92,-0.2276,21.92,21.92,21.92,21.97,11521152.0,21.99,20.231
2026-06-24T09:29:34,2026-06-24 09:25:00,002367,康力电梯,5.97,-0.3339,5.97,5.97,5.97,5.99,1558767.0,5.99,5.44
2026-06-24T09:29:34,2026-06-24 09:25:00,002386,天原股份,5.99,-0.6633,5.99,5.99,5.99,6.03,2838661.0,6.03,5.51
2026-06-24T09:29:34,2026-06-24 09:29:11,603661,恒林股份,35.1,-1.2658,35.1,35.1,35.1,35.55,4138290.0,35.55,32.7
2026-06-24T09:29:34,2026-06-24 09:29:28,603065,宿迁联盛,17.88,-0.1117,17.88,17.88,17.88,17.9,21945912.0,17.9,16.51
2026-06-24T09:29:34,2026-06-24 09:29:12,600791,京能置业,10.81,0.9337,10.81,10.81,10.81,10.71,2377400.0,10.71,10.08
2026-06-24T09:29:34,2026-06-24 09:25:00,000012,南  玻Ａ,4.65,-0.4283,4.65,4.65,4.65,4.67,6070449.45,4.67,4.38
2026-06-24T09:29:34,2026-06-24 09:29:03,600183,生益科技,167.9,0.0179,167.9,167.9,167.9,167.87,143900878.0,189.0,173.88
2026-06-24T09:29:34,2026-06-24 09:29:28,600769,祥龙电业,21.92,-0.2276,21.92,21.92,21.92,21.97,11521152.0,21.99,20.231
2026-06-24T09:30:35,2026-06-24 09:30:33,002367,康力电梯,5.99,0.0,5.97,6.0,5.95,5.99,4353804.0,5.99,5.44
2026-06-24T09:30:35,2026-06-24 09:30:33,002386,天原股份,6.03,0.0,5.99,6.09,5.97,6.03,9982801.0,6.03,5.51
2026-06-24T09:30:35,2026-06-24 09:30:34,603661,恒林股份,35.13,-1.1814,35.1,35.3,35.0,35.55,7178699.0,35.55,32.7
