local_time,quote_time,code,name,price,pct,open,high,low,prev_close,amount,trigger_price,invalid_price
2026-06-04T09:25:58,2026-06-04 09:25:00,000586,汇源通信,16.58,0.1813,16.58,16.58,16.58,16.55,7807522.0,16.55,15.22
2026-06-04T09:25:58,2026-06-04 09:25:51,600360,华微电子,12.58,-1.9486,12.58,12.58,12.58,12.83,17888760.0,12.83,11.61
2026-06-04T09:25:58,2026-06-04 09:25:32,603997,继峰股份,15.22,-0.3274,15.22,15.22,15.22,15.27,4527950.0,15.27,13.73
2026-06-04T09:25:58,2026-06-04 09:25:00,000960,锡业股份,43.0,-1.7143,43.0,43.0,43.0,43.75,75013500.0,43.75,40.7
2026-06-04T09:25:58,2026-06-04 09:25:00,002876,三利谱,31.37,0.9656,31.37,31.37,31.37,31.07,4297690.0,31.07,27.72
2026-06-04T09:25:58,2026-06-04 09:25:29,600345,长江通信,53.07,-1.0811,53.07,53.07,53.07,53.65,14933898.0,53.65,47.97
2026-06-04T09:25:58,2026-06-04 09:25:42,600362,江西铜业,47.06,-1.9992,47.06,47.06,47.06,48.02,38711556.0,48.02,44.0
2026-06-04T09:25:58,2026-06-04 09:25:00,002314,南山控股,2.45,-2.0,2.45,2.45,2.45,2.5,5064885.0,2.5,2.38
2026-06-04T09:25:58,2026-06-04 09:25:52,600114,东睦股份,39.0,-0.5609,39.0,39.0,39.0,39.22,7722000.0,39.22,35.96
2026-06-04T09:25:58,2026-06-04 09:25:47,600459,贵研铂业,24.02,-0.7438,24.02,24.02,24.02,24.2,25218598.0,24.2,21.32
2026-06-04T09:25:58,2026-06-04 09:25:00,000539,粤电力A,9.01,-4.1489,9.01,9.01,9.01,9.4,39063035.2,8.53,7.848
2026-06-04T09:25:58,2026-06-04 09:25:00,001269,欧晶科技,27.92,-2.2067,27.92,27.92,27.92,28.55,4604008.0,25.93,23.856
2026-06-04T09:25:58,2026-06-04 09:25:00,002421,达实智能,4.87,-0.2049,4.87,4.87,4.87,4.88,26797662.0,4.97,4.572
2026-06-04T09:25:58,2026-06-04 09:25:44,600160,巨化股份,38.22,-1.4695,38.22,38.22,38.22,38.79,23642892.0,38.917,35.803
2026-06-04T09:25:58,2026-06-04 09:25:52,600596,新安股份,14.4,0.0,14.4,14.4,14.4,14.4,34344000.0,13.54,12.457
2026-06-04T09:26:59,2026-06-04 09:25:00,000586,汇源通信,16.58,0.1813,16.58,16.58,16.58,16.55,7807522.0,16.55,15.22
2026-06-04T09:26:59,2026-06-04 09:26:51,600360,华微电子,12.58,-1.9486,12.58,12.58,12.58,12.83,17888760.0,12.83,11.61
2026-06-04T09:26:59,2026-06-04 09:26:32,603997,继峰股份,15.22,-0.3274,15.22,15.22,15.22,15.27,4527950.0,15.27,13.73
